IRF3	1955	6306
IRF3	5597	6306
IRF3	5659	6306
IRF3	6183	6306
IRF3	6230	6306
IRF3	6303	6306
IRF3	6284	6306
IRF3	1428	6306
IRF3	6282	6306
IRF3	6126	6306
IRF3	6126	6306
IRF3	6126	6306
IRF3	6126	6306
IRF3	6152	6306
IRF3	6210	6306
IRF3	5855	6306
IRF3	734	6306
IRF3	3710	6306
IRF3	3655	6306
IRF3	3672	6306
IRF3	3545	6306
IRF3	3534	6306
IRF3	2148	6306
IRF3	3353	6306
IRF3	3405	6306
IRF3	2138	6306
IRF3	633	6306
IRF3	2470	6306
IRF3	2333	6306
IRF3	6305	6306
IRF3	2299	6306
ZC3H11A	6519	59345
ZC3H11A	23011	59345
ZC3H11A	52033	59345
ZC3H11A	6601	59345
ZC3H11A	58461	59345
ZC3H11A	59339	59345
ZC3H11A	56749	59345
ZC3H11A	1102	59345
ZC3H11A	59304	59345
ZC3H11A	56731	59345
ZC3H11A	58418	59345
ZC3H11A	55188	59345
ZC3H11A	39213	59345
ZC3H11A	625	59345
ZC3H11A	948	59345
SNAPC4	23220	24591
SNAPC4	15382	24591
BACH2	370213	370379
BACH2	365257	370379
BACH2	737	370379
BACH2	288140	370379
BACH2	288140	370379
BACH2	207781	370379
BACH2	129191	370379
BACH2	207676	370379
BACH2	192377	370379
BACH2	370379	370379
ZNF584	15615	16823
ZNF584	15440	16823
ZNF584	9702	16823
ZNF584	6878	16823
ZNF584	9622	16823
ZNF584	6932	16823
ZNF584	9575	16823
ZNF584	8314	16823
ZNF584	2708	16823
TCF3	6507	43315
TCF3	9842	43315
TCF3	9916	43315
TCF3	40985	43315
TCF3	43298	43315
TCF3	6332	43315
TCF3	4833	43315
TCF3	8291	43315
TCF3	8685	43315
TCF3	39577	43315
TCF3	41355	43315
TCF3	7836	43315
TCF3	10549	43315
TCF3	4043	43315
TCF3	5415	43315
TCF3	5235	43315
TCF3	30281	43315
TCF3	19305	43315
TCF3	43039	43315
TCF3	43039	43315
TCF12	369891	380658
